count,mean,std,min,max
265864431.0,0.02524957917368044,203.30309916988094,-1171.0,1278.0
265864431.0,-0.4317761370643823,418.2221970564535,-4759.0,4118.0
265864431.0,0.23382943617606372,178.17900394362235,-1288.0,1212.0
265864431.0,0.28156197396710053,200.6025468844625,-1280.0,1532.0
265864431.0,-0.0006499891668472192,161.58357732221202,-1225.0,1370.0
265864431.0,0.0449159180680322,299.0050157920729,-3226.0,2575.0
265864431.0,4.590190163497275,204.95690979371682,-986.0,983.0
265864431.0,-2.975500408326528,247.54212977150544,-934.0,1060.0
265864431.0,2.1705471575473743,196.56216496848484,-1210.0,1316.0
265864431.0,-120.95380076998717,937.4785405923212,-3743.0,3229.0
